"","Non-specialist","Frugivore","Folivore","Carnivore","Hopping"
"Non-specialist","-","3.96","2.48","2.13","1.06"
"Frugivore","0.04","-","1.6","1.86","4.19"
"Folivore","0.1","1","-","1.16","2.63"
"Carnivore","1","1","1","-","2.26"
"Hopping","1","0.08","0.14","1","-"
